_source_file,"Station 
Code",Monitoring Location,State,"Temperature 
(°C)",_blank_,"Dissolved 
Oxygen 
(mg/L)",_blank___1,pH,_blank___2,"Conductivity 
(µmho/cm)",_blank___3,"BOD 
(mg/L)",_blank___4,"Nitrate N 
(mg/L)",_blank___5,"Fecal Coliform  
(MPN/100ml)",_blank___6,"Total Coliform  
(MPN/100ml)",_blank___7,"Fecal 
Streptococci 
(MPN/100ml)",_blank___8,State Name,"STN 
Code","NitrateN 
(mg/L)",0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,"Station  
Code"
table_0.csv,,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 
 
1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 mL",,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1001,RIVER BEAS AT U/S MANALI,"HIMACHAL 
PRADESH",2.0,24.0,7.8,9.2,,7.2  8.2,68,380,1.0,2.8,0.32,1.15,2,170,63,540,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2601,RIVER BEAS AT D/S MANALI,"HIMACHAL 
PRADESH",2.0,13.0,7.6,9.0,,6.5  8.1,58,135,1.0,2.8,0.32,1.87,110,1600,920,1600,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,4444,"RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT 
MANALI","HIMACHAL 
PRADESH",2.0,13.0,7.8,8.8,,6.7  7.8,62,113,1.0,2.8,0.32,1.08,110,1600,350,1600,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,4037,RIVER BEAS D/S MANALSU NALLAH,"HIMACHAL 
PRADESH",2.0,14.0,7.9,8.9,,6.3  8.0,52,137,1.0,1.0,0.32,1.74,22,110,79,540,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,"HIMACHAL 
PRADESH",2.0,13.0,7.8,9.1,,7.0  7.8,51,113,1.0,1.0,0.32,0.97,23,120,110,430,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2602,"RIVER BEAS, U/S KULLU","HIMACHAL 
PRADESH",4.0,16.0,7.6,8.7,,6.7  7.8,44,128,1.0,1.0,0.32,0.90,49,220,240,920,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,4445,"RIVER BEAS D/S OF  WASTE PROCESSING FACILITY AT 
KULLU","HIMACHAL 
PRADESH",4.0,16.0,7.6,8.4,,6.6  7.7,73,170,1.0,1.6,0.32,0.96,47,150,280,920,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1002,RIVER BEAS D/S KULLU,"HIMACHAL 
PRADESH",4.0,16.0,7.5,8.4,,7.2  8.0,77,144,1.0,1.6,0.32,2.65,110,540,540,1600,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1003,RIVER BEAS D/S AUT,"HIMACHAL 
PRADESH",5.0,16.0,7.5,8.1,,7.2  8.2,61,129,1.0,1.0,0.32,0.77,34,280,170,1600,2,2,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1004,RIVER BEAS AT PANDOH DAM,"HIMACHAL 
PRADESH",9.0,26.0,8.3,9.0,,7.1  8.3,65,205,1.0,1.0,0.32,1.06,22,79,70,430,2,2,,,,,,,,,,,,,,,,,,,,,,,,
