SourceFile,StationCode,MonitoringLocation,State,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,FecalColiform_Min,FecalColiform_Max,TotalColiform_Min,TotalColiform_Max,FecalStrepto_Min,FecalStrepto_Max,Temp_Avg,DO_Avg,pH_Avg,Conductivity_Avg,BOD_Avg,Nitrate_Avg,FecalColiform_Avg,TotalColiform_Avg,FecalStrepto_Avg,pH_Risk,DO_Risk,BOD_Risk,Cond_Risk,Nitrate_Risk,TotalColiform_Risk,FecalColiform_Risk,FecalStrepto_Risk,Risk
table_0.csv,"Primary Water Quality Criteria notified under The E (P) Rules, 
 
1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1001,RIVER BEAS AT U/S MANALI,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2601,RIVER BEAS AT D/S MANALI,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,4444,"RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT 
MANALI","HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,4037,RIVER BEAS D/S MANALSU NALLAH,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,2602,"RIVER BEAS, U/S KULLU","HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,4445,"RIVER BEAS D/S OF  WASTE PROCESSING FACILITY AT 
KULLU","HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1002,RIVER BEAS D/S KULLU,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_0.csv,1003,RIVER BEAS D/S AUT,"HIMACHAL 
PRADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
