0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Station 
Code",Monitoring Location,State Name,"Temperature 
(°C)",,"Dissolved 
Oxygen 
(mg/L)",,pH,,"Conductivity 
(µmho/cm)",,"BOD 
(mg/L)",,"Nitrate N 
(mg/L)",,"Fecal Coliform  
(MPN/100ml)",,"Total Coliform  
(MPN/100ml)",,"Fecal 
Streptococci 
(MPN/100ml)",
,,,Min,,Max  Min  Max  Min Max  Min,,,,,,Max  Min  Max  Min  Max,,,,"Min 
Max",,"Min 
Max",,"Min 
Max",
"Primary Water Quality Criteria notified under The E (P) Rules, 1986",,,,,"> 5.0 
mg/L",,6.5 - 8.5,,,,"< 3.0 
mg/L",,,,"< 2500 MPN/ 100 
Ml",,,,"< 500 MPN/ 
100 Ml",
4304,RIVER SDERKARIAH AT SOHRA (CHERRAPUNJEE),MEGHALAYA,14.0,19.0,6.6,8.1,,4.0  5.5,66,130,1.0,1.7,0.32,0.59,2,4,12,79,2,4
4305,RIVER LAITRYNGEW AT LAITRYNGEW,MEGHALAYA,14.0,18.0,6.7,7.7,,3.8  5.4,86,178,1.0,1.8,0.32,0.62,2,4,21,84,2,4
4306,RIVER WAHKHLEK KHLEK AT SAITSOHPEN,MEGHALAYA,14.0,18.0,7.2,8.5,,6.9  7.6,81,116,1.1,1.6,0.32,5.64,2,4,23,49,2,2
4307,RIVER WAHREW AT MAJAI,MEGHALAYA,17.0,19.0,7.6,8.5,,6.9  7.3,33,58,1.0,1.4,0.32,5.51,2,2,27,79,2,2
4308,RIVER UMNGI AT JAKREM,MEGHALAYA,9.0,20.0,7.1,8.5,,6.8  7.2,30,45,1.0,1.4,0.32,0.46,2,4,23,70,2,2
4309,RIVER UMNGI AT UMPUNG,MEGHALAYA,15.0,21.0,7.2,8.6,,7.0  7.8,38,55,1.0,1.7,0.32,5.32,2,6,27,130,2,4
4310,RIVER RWIANG AT RWIANG,MEGHALAYA,14.2,21.0,6.9,8.4,,6.7  7.3,34,53,1.0,1.7,0.32,5.45,2,17,33,170,2,4
4311,RIVER KALIPAI AT RYMBAI,MEGHALAYA,14.6,20.0,4.2,7.8,,2.7  3.2,315,,1095  1.2,2.7,0.32,5.32,2,2,2,2,2,2
4312,RIVER KMAI UM AT RYMBAI,MEGHALAYA,14.4,20.0,6.6,7.9,,2.6  3.0,680,,1505  1.0,2.3,0.32,0.65,2,2,2,2,2,2
4313,RIVER WAIKHRWI AT MOOPALA,MEGHALAYA,9.0,19.0,6.7,7.8,,2.7  3.0,464,,1160  1.1,1.9,0.32,0.34,2,2,2,2,2,2
4314,"RIVER KWAI AT SUTNGA, JALAPHET",MEGHALAYA,12.0,20.0,6.2,7.8,,3.6  4.3,126,360,1.2,2.1,0.32,0.32,2,2,2,2,2,2
4315,RIVER LUKHA AT KHADDUM,MEGHALAYA,14.2,19.3,6.8,8.8,,4.7  7.8,150,550,1.2,1.9,0.32,1.22,2,6,49,170,2,2
4316,RIVER MYNTDU AT MIHMYNTDU,MEGHALAYA,12.0,20.0,6.6,7.6,,6.6  6.9,36,61,1.3,2.1,0.32,0.71,46,140,430,1200,4,30
3379,RIVER MYNTDU AT LESHKA,MEGHALAYA,13.0,21.0,7.0,8.4,,5.0  7.1,41,76,1.0,1.9,0.35,0.63,11,63,170,2400,2,21
1631,RIVER MYNTDU JOWAI,MEGHALAYA,15.0,20.0,6.7,7.4,,6.7  7.1,36,58,1.6,2.4,0.32,0.96,220,480,1400,3100,130,240
1428,RIVER KYRHUHKHLA KHLIEHRIAT,MEGHALAYA,13.0,19.0,6.6,7.2,,2.8  4.1,111,550,1.9,2.7,0.32,0.70,2,2,2,2,2,2
4317,RIVER LAMU AT LESHKA,MEGHALAYA,12.6,20.0,6.6,8.5,,6.8  7.6,40,75,1.0,1.8,0.32,0.46,4,23,110,240,2,4
4318,RIVER LYNRIANG  AT LESHKA POWER HOUSE,MEGHALAYA,13.8,20.0,6.4,7.6,,2.7  3.5,433,,1270  1.1,2.0,0.32,0.47,2,2,2,2,2,2
4319,RIVER UMIUREM AT LALE,MEGHALAYA,14.0,19.0,6.8,8.4,,3.8  4.5,158,595,1.0,2.0,0.32,0.47,2,2,2,2,2,2
4320,RIVER KUPLI AT LOOSKI,MEGHALAYA,14.6,19.0,6.6,8.4,,3.8  4.5,143,308,1.2,1.9,0.32,0.43,2,2,2,2,2,2
4321,RIVER KUPLI AT KHANDONG,MEGHALAYA,14.0,19.0,6.6,7.8,,3.7  4.7,140,301,1.2,1.9,0.32,0.56,2,2,2,84,2,2
4322,RIVER THLU UMWI AT THLU UMWI,MEGHALAYA,10.0,21.0,6.7,7.9,,4.0  4.9,36,58,1.2,2.0,0.32,0.39,2,9,12,120,2,4
1633,RIVER SIMSANG WILLIAMNAGAR,MEGHALAYA,15.0,23.0,6.8,7.8,,6.9  7.7,50,73,1.2,2.0,0.32,0.45,23,170,330,790,4,58
1801,"RIVER TEESTA AFTER CONFLUENCS OF RIVERS 
LACHENCHU AND LACHUNGCHU AT CHUNGTHANG",SIKKIM,9.2,18.0,7.0,8.7,,6.8  7.2,91,180,2.0,2.3,1.00,3.80,24,61,56,130,,
1807,"RIVER TEESTA AFTER CONFLUENCS WITH RANICHU AT 
SINGTAM",SIKKIM,14.0,24.0,7.4,9.4,,6.6  7.4,139,173,2.0,2.4,1.90,4.40,31,85,66,178,,
1808,"RIVER TEESTA AFTER CONFLUENCS WITH RONGPOCHU 
AFTER MEETING THE INDUSTRIAL EFFLUENTS FROM 
THE TOWN RANGPO",SIKKIM,16.0,23.0,7.9,9.1,,6.7  7.4,139,170,1.6,2.3,2.00,4.70,29,105,61,185,,
1809,RIVER TEESTA AT MELLI DOWNSTREAM MELLI,SIKKIM,14.0,23.0,8.0,9.4,,6.8  7.6,132,182,2.0,2.4,2.00,5.00,32,100,64,185,,
1947,"RIVER TEESTA AT SEVOKE, SILIGURI, DARJEELING",WEST BENGAL,11.0,27.0,7.1,8.9,,6.3  8.0,36,86,1.0,2.1,0.30,0.75,800,24000,2300,50000,11,140
4723,RIVER TEESTA AT JALPESH,WEST BENGAL,11.0,29.0,6.0,8.6,,6.9  7.7,52,,8136  1.0,2.8,0.30,0.57,1100,7000,2100,50000,17,130
